Identifiant séquentiel unique *,Géométrie *,Nom de la station d'épuration,Numéro de la station d'épuration,Numéro du système de traitement *,Numéro de lieu SAGO,Municipalité(s) desservie(s),Classification,Type de traitement (description),Taille de la station d'épuration,Catégorie de suivi,Date de mise en service,Population de conception,Débit - Calcul de taille (m³/d),Débit de conception (m³/d),DBO5C de conception (kg/d),Latitude de l'émissaire,Longitude de l'émissaire,Lac/Cours d'eau (milieu récepteur),Nom du bassin primaire,Équipements de traitements,Date d'effectivité de l'AA,Nombre d’ouvrages de surverse
1,Point,Station d'épuration de Val-d'Or,84180-1,829,X0801596,<Nul>,Boues activées,Boues activées à fossé d'oxydation,Moyenne,5,1985-11-01,24967,"13944,5",15540,1373,"48,115","-77,880,833","De Montigny, Lac","Harricana, Rivière",BA; DÉC SEC; DÉG GR; DESS AÉRÉ,<Nul>,19
2,Point,Station d'épuration de Rouyn-Noranda (Noranda-Nord),86040-2,318,X0801587,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1993-02-01,2820,"1584,7",1051,141,"48,272,852","-79,015,329","Osisko, Lac","Outaouais, Rivière des",DÉG GR; EA (3 cell.); PD,<Nul>,5
3,Point,Station d'épuration de Saint-Lambert (Abitibi),87120-1,378,X2127674,<Nul>,Autres,Marais artificiel (roseaux),Très petite,1,2012-10-01,210,"75,6","75,6","10,5","48,947,778","-79,460,556","Morin, Cours d'eau","Moose, River",FS(F); ROS,<Nul>,1
4,Point,Station d'épuration de Ville-Marie (Duhamel),75700-1,616,X0801597,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1987-09-01,2586,"1940,7",2200,229,"47,31","-79,463,611","Témiscamingue, Lac","Outaouais, Rivière des",DÉG GR; DESS; EA (3 cell.),<Nul>,6
5,Point,Station d'épuration de Duparquet,87005-1,146,X2047864,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2000-04-01,715,"265,6",499,"39,2","48,498,611","-79,225",<Nul>,"Moose, River",EA (3 cell.); PD,<Nul>,2
6,Point,Station d'épuration de Saint-Édouard-de-Fabre,83300-1,213,X0801590,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,2,1991-10-01,413,"289,1",235,19,"47,193,889","-79,387,222","Demers, Cours d'eau","Outaouais, Rivière des",DÉG GR; ENA (3 cell.); PD,<Nul>,1
7,Point,Station d'épuration de Notre-Dame-du-Nord,83500-1,176,X0801584,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1986-08-01,1229,"1096,4",1120,66,"47,586,944","-79,486,111","Outaouais, Rivière des","Outaouais, Rivière des",DÉG GR; DESS AÉRÉ; EA (3 cell.); PD,<Nul>,4
8,Point,Station d'épuration d'Amos,84455-1,801,X0801574,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1997-10-01,15176,9322,9832,930,"48,595","-78,109,722","Harricana, Rivière","Harricana, Rivière",DÉG GR; EA (2 cell.); PD,<Nul>,18
9,Point,Station d'épuration de Rouyn-Noranda,86040-1,704,X0801586,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1998-11-01,26814,"15264,6",15105,2530,"48,246,667","-789,625","Osisko, Ruisseau","Outaouais, Rivière des",EA (4 cell.); PD,<Nul>,31
10,Point,Station d'épuration de Saint-Eugène-de-Guigues,85085-1,338,X2048051,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,2,2004-10-01,224,"152,5",122,"11,4","47,506,111","-79,373,889","Cameron, Ruisseau","Outaouais, Rivière des",ENA (1 cell.); PD,<Nul>,1
11,Point,Station d'épuration de La Sarre,87090-1,644,X0801580,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1993-12-01,9290,"5179,3",4813,557,"488,175","-79,224,444","Sud, Rivière du","Moose, River",DÉG GR; EA (2 cell.); PD,<Nul>,9
12,Point,Station d'épuration de Saint-Mathieu-d'Harricana,84435-1,816,X0801592,<Nul>,Fosse septique,Fosse septique,Très petite,1,1985-09-01,144,"27,8","37,4","7,8","48,475,556","-78,140,278",<Nul>,"Harricana, Rivière",FG; FS; FS,<Nul>,0
13,Point,Station d'épuration de Laverlochère,85050-1,468,X2047867,<Nul>,Étangs aérés,Étangs aérés,Moyenne,4,2000-04-01,660,"736,4",894,"96,6","47,424,444","-792,925","Chartier, Cours d'eau","Outaouais, Rivière des",EA (3 cell.); PD,<Nul>,1
14,Point,Station d'épuration de Rouyn-Noranda (Granada),83670-1,529,X0801588,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1985-12-01,1100,"368,3",334,55,"48,191,389","-79,047,778","Gamble, Lac","Outaouais, Rivière des",DÉG GR; EA (2 cell.); PD,<Nul>,3
15,Point,Station d'épuration d'Angliers,85080-1,4,X0801575,<Nul>,Dégrillage,Dégrilleur fin,Très petite,2,1993-01-01,240,320,320,12,"47,551,404","-79,242,131","Outaouais, Rivière des (voir 04300000)","Outaouais, Rivière des",DEG,<Nul>,2
16,Point,Station d'épuration de Val-d'Or (Val-Senneville),89008-3,899,X2159676,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,1,2017-07-01,165,78,78,"11,3","48,192,233","-77,649,693","Bourlamaque, Rivière","Harricana, Rivière",ENA (1 cell.); PD,<Nul>,1
17,Point,Station d'épuration de Senneterre,84530-1,453,X0801593,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1994-10-01,4020,"2780,5",2685,201,"48,388,889","-77,223,056","Bell, Rivière","Nottaway, Rivière",DÉG GR; EA (3 cell.); PD,<Nul>,9
18,Point,Station d'épuration de Val-d'Or (Ile Siscoe),89008-2,818,X2154140,<Nul>,Disques biologiques,Disques biologiques Rotofix,Très petite,1,2005-10-01,88,"35,1","34,7","4,4","4,814,617","-7,787,549","De Montigny, Lac","Harricana, Rivière",DÉC SEC; BD; FS(F); PD; UV,<Nul>,0
19,Point,Station d'épuration de Landrienne,88035-1,562,X2108713,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,2,2013-10-01,718,422,422,"35,9","48,548,889","-77,935,556","Peter-Brown, Rivière","Harricana, Rivière",ENA (1 cell.); PD,<Nul>,3
20,Point,Station d'épuration de Taschereau,87042-1,701,X2066156,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite,Très petite,2,2005-10-01,616,"406,4",380,"32,9","48,652,222","-78,693,889","Bellefeuille, Rivière","Moose, River",ERR (2 cell.); PD,<Nul>,5
21,Point,Station d'épuration de Rouyn-Noranda (Cadillac),86042-7,327,X2139407,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2013-11-01,939,518,518,47,"4,822,135","-78,378,366","Beauchemin, Ruisseau","Outaouais, Rivière des",EA (3 cell.); PD,<Nul>,1
22,Point,Station d'épuration de Dupuy,87085-1,25,X0801577,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1999-02-01,712,"452,3",441,"38,2","48,822,222","-79,355,833","Morasse, Cours d'eau","Moose, River",EA (2 cell.); PD,<Nul>,2
23,Point,Station d'épuration de Saint-Dominique-du-Rosaire,88065-1,886,X2140440,<Nul>,Autres,Marais artificiel (roseaux),Très petite,1,2014-09-01,178,63,"62,4","8,9","48,761,224","-78,110,489","Davy, Rivière","Harricana, Rivière",BE; FS(F); ROS,<Nul>,2
